Date,Rate
1/1/1944,0.4
2/1/1944,0.39
3/1/1944,0.39
4/1/1944,0.39
5/1/1944,0.39
6/1/1944,0.39
7/1/1944,0.38
8/1/1944,0.38
9/1/1944,0.38
10/1/1944,0.38
11/1/1944,0.38
12/1/1944,0.37
1/1/1945,0.37
2/1/1945,0.37
3/1/1945,0.37
4/1/1945,0.37
5/1/1945,0.37
6/1/1945,0.36
7/1/1945,0.36
8/1/1945,0.36
9/1/1945,0.36
10/1/1945,0.36
11/1/1945,0.36
12/1/1945,0.36
1/1/1946,0.36
2/1/1946,0.36
3/1/1946,0.36
4/1/1946,0.38
5/1/1946,0.39
6/1/1946,0.4
7/1/1946,0.4
8/1/1946,0.4
9/1/1946,0.4
10/1/1946,0.4
11/1/1946,0.4
12/1/1946,0.4
1/1/1947,0.4
2/1/1947,0.4
3/1/1947,0.4
4/1/1947,0.41
5/1/1947,0.41
6/1/1947,0.41
7/1/1947,0.41
8/1/1947,0.41
9/1/1947,0.41
10/1/1947,0.41
11/1/1947,0.41
12/1/1947,0.41
1/1/1948,0.41
2/1/1948,0.41
3/1/1948,0.41
4/1/1948,0.41
5/1/1948,0.41
6/1/1948,0.41
7/1/1948,0.41
8/1/1948,0.41
9/1/1948,0.41
10/1/1948,0.41
11/1/1948,0.41
12/1/1948,0.41
1/1/1949,0.41
2/1/1949,0.41
3/1/1949,0.44
4/1/1949,0.49
5/1/1949,0.5
6/1/1949,0.51
7/1/1949,0.51
8/1/1949,0.51
9/1/1949,0.51
10/1/1949,0.51
11/1/1949,0.51
12/1/1949,0.51
1/1/1950,0.51
2/1/1950,0.51
3/1/1950,0.51
4/1/1950,0.51
5/1/1950,0.51
6/1/1950,0.51
7/1/1950,0.51
8/1/1950,0.53
9/1/1950,0.61
10/1/1950,0.62
11/1/1950,0.62
12/1/1950,0.63
1/1/1951,0.63
2/1/1951,0.7
3/1/1951,0.75
4/1/1951,0.75
5/1/1951,0.75
6/1/1951,0.75
7/1/1951,0.77
8/1/1951,0.78
9/1/1951,0.86
10/1/1951,0.92
11/1/1951,0.92
12/1/1951,0.9
1/1/1952,0.89
2/1/1952,0.9
3/1/1952,0.93
4/1/1952,0.97
5/1/1952,1.01
6/1/1952,1.07
7/1/1952,1.11
8/1/1952,1.1
9/1/1952,1.12
10/1/1952,1.19
11/1/1952,1.21
12/1/1952,1.3
1/1/1953,1.34
2/1/1953,1.5
3/1/1953,1.52
4/1/1953,1.53
5/1/1953,1.63
6/1/1953,1.71
7/1/1953,1.77
8/1/1953,1.85
9/1/1953,1.97
10/1/1953,1.91
11/1/1953,1.89
12/1/1953,1.89
1/1/1954,1.81
2/1/1954,1.71
3/1/1954,1.59
4/1/1954,1.6
5/1/1954,1.61
6/1/1954,1.49
7/1/1954,1.35
8/1/1954,1.3
9/1/1954,1.16
10/1/1954,1.3
11/1/1954,1.13
12/1/1954,1.06
1/1/1955,0.88
2/1/1955,1.13
3/1/1955,1.09
4/1/1955,1.25
5/1/1955,1.3
6/1/1955,1.44
7/1/1955,1.43
8/1/1955,1.7
9/1/1955,1.83
10/1/1955,2.2
11/1/1955,2.58
12/1/1955,2.56
1/1/1956,2.53
2/1/1956,2.56
3/1/1956,2.64
4/1/1956,2.89
5/1/1956,2.72
6/1/1956,2.52
7/1/1956,2.65
8/1/1956,2.9
9/1/1956,3.16
10/1/1956,3.34
11/1/1956,3.52
12/1/1956,3.67
1/1/1957,3.7
2/1/1957,3.76
3/1/1957,3.7
4/1/1957,3.75
5/1/1957,3.76
6/1/1957,3.81
7/1/1957,3.81
8/1/1957,4.03
9/1/1957,3.8
10/1/1957,3.8
11/1/1957,3.58
12/1/1957,3.62
1/1/1958,3.25
2/1/1958,2.86
3/1/1958,2.27
4/1/1958,1.58
5/1/1958,1.54
6/1/1958,1.72
7/1/1958,0.87
8/1/1958,1.49
9/1/1958,2.27
10/1/1958,2.83
11/1/1958,2.88
12/1/1958,3.49
1/1/1959,3.28
2/1/1959,4.07
3/1/1959,4.3
4/1/1959,4.76
5/1/1959,4.9
6/1/1959,5.11
7/1/1959,5.47
8/1/1959,5.33
9/1/1959,5.5
10/1/1959,5.02
11/1/1959,4.86
12/1/1959,5.12
1/1/1960,4.6
2/1/1960,4.61
3/1/1960,3.01
4/1/1960,3.26
5/1/1960,3.01
6/1/1960,3.07
7/1/1960,2.92
8/1/1960,2.01
9/1/1960,1.7
10/1/1960,3.03
11/1/1960,3.95
12/1/1960,3.25
1/1/1961,3.04
2/1/1961,3.11
3/1/1961,3.21
4/1/1961,3.28
5/1/1961,3.14
6/1/1961,2.57
7/1/1961,2.55
8/1/1961,2.26
9/1/1961,2.59
10/1/1961,2.5
11/1/1961,2.5
12/1/1961,2.99
1/1/1962,3.07
2/1/1962,3.21
3/1/1962,3.12
4/1/1962,3.07
5/1/1962,3.52
6/1/1962,5.45
7/1/1962,5.47
8/1/1962,4.95
9/1/1962,4.99
10/1/1962,4.16
11/1/1962,3.71
12/1/1962,3.91
1/1/1963,3.65
2/1/1963,3.68
3/1/1963,3.62
4/1/1963,3.66
5/1/1963,3.19
6/1/1963,3.24
7/1/1963,3.43
8/1/1963,3.71
9/1/1963,3.56
10/1/1963,3.59
11/1/1963,3.63
12/1/1963,3.78
1/1/1964,3.77
2/1/1964,3.88
3/1/1964,3.88
4/1/1964,3.7
5/1/1964,3.58
6/1/1964,3.59
7/1/1964,3.67
8/1/1964,3.8
9/1/1964,3.73
10/1/1964,3.7
11/1/1964,3.87
12/1/1964,3.82
1/1/1965,3.74
2/1/1965,3.74
3/1/1965,3.62
4/1/1965,3.77
5/1/1965,3.9
6/1/1965,3.93
7/1/1965,4.05
8/1/1965,4.08
9/1/1965,4.13
10/1/1965,4.15
11/1/1965,4.16
12/1/1965,4.54
1/1/1966,4.63
2/1/1966,4.69
3/1/1966,5.06
4/1/1966,5.08
5/1/1966,5.11
6/1/1966,5
7/1/1966,5.02
8/1/1966,5.04
9/1/1966,5.01
10/1/1966,5.19
11/1/1966,5.15
12/1/1966,4.96
1/1/1967,4.68
2/1/1967,4.58
3/1/1967,4.13
4/1/1967,4
5/1/1967,4.24
6/1/1967,4.28
7/1/1967,4.32
8/1/1967,4.34
9/1/1967,4.76
10/1/1967,4.95
11/1/1967,5.46
12/1/1967,5.95
1/1/1968,6.29
2/1/1968,6.8
3/1/1968,6.98
4/1/1968,6.99
5/1/1968,6.95
6/1/1968,6.56
7/1/1968,6.03
8/1/1968,5.48
9/1/1968,5.66
10/1/1968,5.57
11/1/1968,5.66
12/1/1968,6.24
1/1/1969,6.38
2/1/1969,6.43
3/1/1969,6.58
4/1/1969,6.8
5/1/1969,6.74
6/1/1969,7.13
7/1/1969,7.62
8/1/1969,7.69
9/1/1969,7.77
10/1/1969,7.6
11/1/1969,7.76
12/1/1969,7.81
1/1/1970,7.78
2/1/1970,7.6
3/1/1970,7
4/1/1970,6.78
5/1/1970,6.34
6/1/1970,5.94
7/1/1970,5.7
8/1/1970,5.51
9/1/1970,5.39
10/1/1970,5.01
11/1/1970,4.4
12/1/1970,4.44
1/1/1971,4.68
2/1/1971,4.06
3/1/1971,3.16
4/1/1971,3
5/1/1971,3.03
6/1/1971,3.37
7/1/1971,3.68
8/1/1971,3.79
9/1/1971,4.06
10/1/1971,3.47
11/1/1971,3.24
12/1/1971,3.21
1/1/1972,3.36
2/1/1972,3.45
3/1/1972,3.57
4/1/1972,3.64
5/1/1972,3.73
6/1/1972,3.5
7/1/1972,3.46
8/1/1972,3.5
9/1/1972,3.62
10/1/1972,3.57
11/1/1972,3.68
12/1/1972,3.65
1/1/1973,3.9
2/1/1973,3.99
3/1/1973,4.46
4/1/1973,4.9
5/1/1973,5.18
6/1/1973,5.48
7/1/1973,5.74
8/1/1973,6.18
9/1/1973,6.5
10/1/1973,6.53
11/1/1973,6.43
12/1/1973,6.35
1/1/1974,6.22
2/1/1974,6.07
3/1/1974,6.51
4/1/1974,7.64
5/1/1974,8.63
6/1/1974,8.75
7/1/1974,9.1
8/1/1974,9.11
9/1/1974,8.94
10/1/1974,8.31
11/1/1974,7.49
12/1/1974,7.12
1/1/1975,6.4
2/1/1975,6.26
3/1/1975,6.33
4/1/1975,6.85
5/1/1975,6.87
6/1/1975,6.99
7/1/1975,7.44
8/1/1975,7.87
9/1/1975,8.41
10/1/1975,8.16
11/1/1975,8.52
12/1/1975,8.64
1/1/1976,8.59
2/1/1976,8.79
3/1/1976,9.07
4/1/1976,8.99
5/1/1976,8.94
6/1/1976,8.98
7/1/1976,9.07
8/1/1976,9.13
9/1/1976,9.11
10/1/1976,9.01
11/1/1976,8.59
12/1/1976,8.14
1/1/1977,8.04
2/1/1977,7.65
3/1/1977,7.54
4/1/1977,7.58
5/1/1977,7.05
6/1/1977,7.07
7/1/1977,7.14
8/1/1977,7.14
9/1/1977,7.1
10/1/1977,7.24
11/1/1977,7.26
12/1/1977,7.17
1/1/1978,7.13
2/1/1978,7.3
3/1/1978,7.73
4/1/1978,8.19
5/1/1978,8.2
6/1/1978,8.26
7/1/1978,8.66
8/1/1978,8.8
9/1/1978,9.17
10/1/1978,9.85
11/1/1978,10.36
12/1/1978,10.46
1/1/1979,10.85
2/1/1979,10.82
3/1/1979,10.92
4/1/1979,10.82
5/1/1979,10.84
6/1/1979,10.78
7/1/1979,11.24
8/1/1979,11.45
9/1/1979,11.64
10/1/1979,13.61
11/1/1979,13.62
12/1/1979,13.66
1/1/1980,13.5
2/1/1980,13.55
3/1/1980,15.24
4/1/1980,15.15
5/1/1980,11.58
6/1/1980,10.38
7/1/1980,10.06
8/1/1980,10.49
9/1/1980,10.95
10/1/1980,11.91
11/1/1980,13.7
12/1/1980,17.01
1/1/1981,16.86
2/1/1981,16.83
3/1/1981,16.44
4/1/1981,17.35
5/1/1981,18.43
6/1/1981,18.83
7/1/1981,20.29
8/1/1981,20.82
9/1/1981,19.35
10/1/1981,17.96
11/1/1981,15.07
12/1/1981,14.41
1/1/1982,14.34
2/1/1982,14.58
3/1/1982,15.07
4/1/1982,14.98
5/1/1982,15.18
6/1/1982,16.33
7/1/1982,15.25
8/1/1982,13.7
9/1/1982,12.73
10/1/1982,11.21
11/1/1982,10.72
12/1/1982,9.8
1/1/1983,9.58
2/1/1983,9.23
3/1/1983,9.17
4/1/1983,9.12
5/1/1983,9.25
6/1/1983,9.17
7/1/1983,9.24
8/1/1983,9.29
9/1/1983,9.24
10/1/1983,9.24
11/1/1983,9.48
12/1/1983,9.71
1/1/1984,9.73
2/1/1984,9.82
3/1/1984,10.53
4/1/1984,10.59
5/1/1984,11.29
6/1/1984,12.11
7/1/1984,12.73
8/1/1984,12.13
9/1/1984,12.02
10/1/1984,11.42
11/1/1984,10.5
12/1/1984,9.84
1/1/1985,9.5
2/1/1985,11.27
3/1/1985,10.4
4/1/1985,9.77
5/1/1985,9.51
6/1/1985,9.33
7/1/1985,9.06
8/1/1985,8.95
9/1/1985,8.75
10/1/1985,8.53
11/1/1985,8.85
12/1/1985,9.24
1/1/1986,10.55
2/1/1986,11.55
3/1/1986,10.19
4/1/1986,8.72
5/1/1986,8.33
6/1/1986,8.59
7/1/1986,8.26
8/1/1986,8.33
9/1/1986,8.35
10/1/1986,8.3
11/1/1986,8.24
12/1/1986,8.24
1/1/1987,7.24
2/1/1987,7.28
3/1/1987,6.8
4/1/1987,8.08
5/1/1987,8.19
6/1/1987,8.29
7/1/1987,8.97
8/1/1987,8.99
9/1/1987,9.35
10/1/1987,7.84
11/1/1987,8.31
12/1/1987,8.41
1/1/1988,8.37
2/1/1988,8.32
3/1/1988,8.53
4/1/1988,8.87
5/1/1988,8.92
6/1/1988,9.19
7/1/1988,9.29
8/1/1988,9.98
9/1/1988,10.33
10/1/1988,10.29
11/1/1988,10.76
12/1/1988,10.94
1/1/1989,11.18
2/1/1989,11.61
3/1/1989,12.14
4/1/1989,12.37
5/1/1989,12.17
6/1/1989,12.08
7/1/1989,12.11
8/1/1989,12.16
9/1/1989,12.23
10/1/1989,12.17
11/1/1989,12.21
12/1/1989,12.22
1/1/1990,12.34
2/1/1990,13.16
3/1/1990,13.26
4/1/1990,13.55
5/1/1990,13.67
6/1/1990,13.58
7/1/1990,13.23
8/1/1990,12.67
9/1/1990,12.4
10/1/1990,12.36
11/1/1990,12.01
12/1/1990,11.47
1/1/1991,10.48
2/1/1991,9.72
3/1/1991,9.67
4/1/1991,9.24
5/1/1991,8.81
6/1/1991,8.65
7/1/1991,8.66
8/1/1991,8.53
9/1/1991,8.34
10/1/1991,7.79
11/1/1991,7.41
12/1/1991,7.42
1/1/1992,7.04
2/1/1992,7.25
3/1/1992,7.24
4/1/1992,6.72
5/1/1992,6.08
6/1/1992,5.6
7/1/1992,5.17
8/1/1992,4.82
9/1/1992,7.37
10/1/1992,6.05
11/1/1992,8.57
12/1/1992,7.11
1/1/1993,6.56
2/1/1993,5.84
3/1/1993,5.11
4/1/1993,5.34
5/1/1993,4.85
6/1/1993,4.54
7/1/1993,4.16
8/1/1993,4.74
9/1/1993,4.65
10/1/1993,4.38
11/1/1993,4.09
12/1/1993,3.86
1/1/1994,3.63
2/1/1994,3.85
3/1/1994,5.39
4/1/1994,5.82
5/1/1994,6.33
6/1/1994,6.67
7/1/1994,5.79
8/1/1994,5.35
9/1/1994,5.29
10/1/1994,5.37
11/1/1994,5.79
12/1/1994,7.18
1/1/1995,7.98
2/1/1995,7.77
3/1/1995,8.22
4/1/1995,7.92
5/1/1995,7.39
6/1/1995,6.72
7/1/1995,6.62
8/1/1995,6.34
9/1/1995,6.46
10/1/1995,5.93
11/1/1995,5.82
12/1/1995,5.54
1/1/1996,5.12
2/1/1996,5.18
3/1/1996,5.02
4/1/1996,4.73
5/1/1996,4.64
6/1/1996,4.69
7/1/1996,4.43
8/1/1996,4.03
9/1/1996,3.96
10/1/1996,3.19
11/1/1996,2.69
12/1/1996,2.8
1/1/1997,2.84
2/1/1997,2.86
3/1/1997,3.19
4/1/1997,3.14
5/1/1997,3
6/1/1997,2.86
7/1/1997,3.32
8/1/1997,3.13
9/1/1997,3.1
10/1/1997,3.63
11/1/1997,3.57
12/1/1997,4.46
1/1/1998,4.183
2/1/1998,4.571
3/1/1998,4.565
4/1/1998,4.825
5/1/1998,4.75
6/1/1998,4.882
7/1/1998,4.926
8/1/1998,4.876
9/1/1998,4.936
10/1/1998,4.744
11/1/1998,4.815
12/1/1998,4.697
1/1/1999,4.658
2/1/1999,4.835
3/1/1999,4.749
4/1/1999,4.601
5/1/1999,4.42
6/1/1999,4.622
7/1/1999,4.636
8/1/1999,4.834
9/1/1999,4.687
10/1/1999,4.85
11/1/1999,4.815
12/1/1999,4.93
1/1/2000,5.076
2/1/2000,5.051
3/1/2000,5.277
4/1/2000,5.449
5/1/2000,5.751
6/1/2000,5.551
7/1/2000,5.625
8/1/2000,5.622
9/1/2000,5.564
10/1/2000,5.619
11/1/2000,5.736
12/1/2000,5.557
1/1/2001,5.142
2/1/2001,4.804
3/1/2001,4.604
4/1/2001,4.41
5/1/2001,4.401
6/1/2001,4.242
7/1/2001,4.029
8/1/2001,3.805
9/1/2001,3.039
10/1/2001,2.54
11/1/2001,2.207
12/1/2001,2
1/1/2002,1.97
2/1/2002,2.07
3/1/2002,2.34
4/1/2002,2.41
5/1/2002,2.622
6/1/2002,2.738
7/1/2002,2.849
8/1/2002,2.996
9/1/2002,2.826
10/1/2002,2.805
11/1/2002,2.734
12/1/2002,2.669
1/1/2003,2.813
2/1/2003,2.861
3/1/2003,3.142
4/1/2003,3.241
5/1/2003,3.197
6/1/2003,3.127
7/1/2003,2.808
8/1/2003,2.7
9/1/2003,2.597
10/1/2003,2.651
11/1/2003,2.714
12/1/2003,2.59
1/1/2004,2.26
2/1/2004,2.133
3/1/2004,1.99
4/1/2004,1.944
5/1/2004,2.018
6/1/2004,2.042
7/1/2004,2.084
8/1/2004,2.14
9/1/2004,2.412
10/1/2004,2.583
11/1/2004,2.556
12/1/2004,2.477
1/1/2005,2.437
2/1/2005,2.464
3/1/2005,2.546
4/1/2005,2.461
5/1/2005,2.451
6/1/2005,2.473
7/1/2005,2.581
8/1/2005,2.758
9/1/2005,2.813
10/1/2005,3.025
11/1/2005,3.304
12/1/2005,3.4
1/1/2006,3.49
2/1/2006,3.71
3/1/2006,3.79
4/1/2006,3.97
5/1/2006,4.18
6/1/2006,4.3
7/1/2006,4.16
8/1/2006,4.13
9/1/2006,4.17
10/1/2006,4.17
11/1/2006,4.18
12/1/2006,4.16
1/1/2007,4.16
2/1/2007,4.18
3/1/2007,4.17
4/1/2007,4.17
5/1/2007,4.29
6/1/2007,4.42
7/1/2007,4.56
8/1/2007,4.01
9/1/2007,4.11
10/1/2007,3.97
11/1/2007,3.92
12/1/2007,3.86
1/1/2008,3.46
2/1/2008,3.24
3/1/2008,2.03
4/1/2008,2.7
5/1/2008,2.73
6/1/2008,2.69
7/1/2008,2.42
8/1/2008,2.52
9/1/2008,1.88
10/1/2008,2.22
11/1/2008,1.84
12/1/2008,0.95
1/1/2009,0.93
2/1/2009,0.8
3/1/2009,0.42
4/1/2009,0.25
5/1/2009,0.2
6/1/2009,0.24
7/1/2009,0.24
8/1/2009,0.24
9/1/2009,0.22
10/1/2009,0.23
11/1/2009,0.23
12/1/2009,0.2
1/1/2010,0.18
2/1/2010,0.17
3/1/2010,0.29
4/1/2010,0.4
5/1/2010,0.43
6/1/2010,0.58
7/1/2010,0.64
8/1/2010,0.69
9/1/2010,0.89
10/1/2010,0.92
11/1/2010,0.98
12/1/2010,1
1/1/2011,0.99
2/1/2011,0.97
3/1/2011,0.92
4/1/2011,0.98
5/1/2011,0.96
6/1/2011,0.92
7/1/2011,0.93
8/1/2011,0.93
9/1/2011,0.87
10/1/2011,0.87
11/1/2011,0.89
12/1/2011,0.83
1/1/2012,0.88
2/1/2012,0.94
3/1/2012,0.93
4/1/2012,1.04
5/1/2012,1.01
6/1/2012,0.9
7/1/2012,0.97
8/1/2012,1.03
9/1/2012,1
10/1/2012,1
11/1/2012,0.99
12/1/2012,0.98
1/1/2013,0.93
2/1/2013,0.96
3/1/2013,0.98
4/1/2013,0.99
5/1/2013,1
6/1/2013,1.02
7/1/2013,1.01
8/1/2013,1
9/1/2013,0.99
10/1/2013,0.92
11/1/2013,0.94
12/1/2013,0.89
1/1/2014,0.89
2/1/2014,0.87
3/1/2014,0.88
4/1/2014,0.94
5/1/2014,0.92
6/1/2014,0.93
7/1/2014,0.95
8/1/2014,0.94
9/1/2014,0.92
10/1/2014,0.88
11/1/2014,0.9
12/1/2014,0.91
1/1/2015,0.59
2/1/2015,0.47
3/1/2015,0.53
4/1/2015,0.65
5/1/2015,0.67
6/1/2015,0.58
7/1/2015,0.43
8/1/2015,0.38
9/1/2015,0.41
10/1/2015,0.39
11/1/2015,0.44
12/1/2015,0.5
1/1/2016,0.48
2/1/2016,0.46
3/1/2016,0.46
4/1/2016,0.54
5/1/2016,0.55
6/1/2016,0.49
7/1/2016,0.5
8/1/2016,0.51
9/1/2016,0.53
10/1/2016,0.5
11/1/2016,0.51
12/1/2016,0.47
1/1/2017,0.46
2/1/2017,0.48
3/1/2017,0.51
4/1/2017,0.55
